company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
REFLEXED LTD,16967840,active,ltd,,,2026-01-16,,2026-01-16,[71129],66 Paul Street London England EC2A 4NA,,,
PIXPIPRINT LTD,16960013,active,ltd,,,2026-01-13,,2026-01-13,"[18129, 47190, 74100]",50 South Mall London England N9 0TN,,,
NIKKYNIKKE LTD,16975250,active,ltd,,,2026-01-20,,2026-01-20,"[58210, 62011, 62012, 62020]",14/2e Docklands Business Centre 10-16 Tiller Road London England E14 8PX,,,
NADEEM BUTCHERS LTD,16992477,active,ltd,,,2026-01-27,,2026-01-27,"[47210, 47220, 47240]",42-44 Ridley Road London England E8 2NR,,,
HRCIS SERVICES UK LTD,16946373,active,ltd,,,2026-01-06,,2026-01-06,[82990],79 Denbigh Street London England SW1V 2EY,,,
THREE SEALS LTD,16974202,active,ltd,,,2026-01-20,,2026-01-20,[62012],66 Paul Street London England EC2A 4NA,,,
HOLLOWAY HEAVEN LIMITED,16940775,active,ltd,,,2026-01-03,,2026-01-03,[90030],167-169 Great Portland Street London England W1W 5PF,,,
FOSTER STRATEGIES 800 LTD,16968607,active,ltd,,,2026-01-16,,2026-01-16,[68209],28a Devonshire Street London England W1G 6PS,,,
RIOT BABY EP LIMITED,16945592,active,ltd,,,2026-01-06,,2026-01-06,"[59111, 90030]",130 Shaftesbury Avenue London United Kingdom W1D 5EU,,,
SEILINA LTD,16949444,active,ltd,,,2026-01-07,,2026-01-07,[71129],124 City Road London England EC1V 2NX,,,
EASTLOCK LTD,16986007,active,ltd,,,2026-01-25,,2026-01-25,"[46520, 62020]",62 Wayman Court Eleanor Road London England E8 3NN,https://eastlockltd.co.uk,info@eastlockltd.co.uk,Confirmed
THE CASE LIST LTD,16994027,active,ltd,,,2026-01-28,,2026-01-28,[46342],1 Kingscote Road London United Kingdom W4 5LJ,,,
MARVIC HOMES LTD,16972556,active,ltd,,,2026-01-19,,2026-01-19,"[41100, 68100, 68201, 68209]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
HHE WELLBEING LTD,16972567,active,ltd,,,2026-01-19,,2026-01-19,[86900],167-169 Great Portland Street London England W1W 5PF,,,
YANOOG INNOVATIONS INTERNATIONAL LIMITED,16972535,active,ltd,,,2026-01-19,,2026-01-19,[47910],"292660, Office Suite 29a, 3/F 23 Wharf Street London England SE8 3GG",,,
BENBERG ESTATES LTD,16972531,active,ltd,,,2026-01-19,,2026-01-19,"[68100, 68209]",37 Russell Gardens London England NW11 9NJ,,,
MARIANA DCP LTD,16972478,active,ltd,,,2026-01-19,,2026-01-19,[86230],32a Cambridge Road London England SE20 7XL,,,
GARETH DAVIES STUDIO LIMITED,16972558,active,ltd,,,2026-01-19,,2026-01-19,[74100],1 Thirlmere Road London England N10 2DL,,,
PERCUIL LIMITED,16972586,active,ltd,,,2026-01-19,,2026-01-19,"[68310, 68320]",94a New Kings Road London England SW6 4LU,https://percuil.co.uk,,Likely
ANGELA BUSA LTD,16971961,active,ltd,,,2026-01-19,,2026-01-19,[73110],128 City Road London United Kingdom EC1V 2NX,,,
MG PROPCO LTD,16972320,active,ltd,,,2026-01-19,,2026-01-19,"[68100, 68209]",20 Wenlock Road London England N1 7GU,,,
TOP LONDON BUILDING LTD,16972319,active,ltd,,,2026-01-19,,2026-01-19,"[41202, 52290]",374a Neasden Lane North London England NW10 0ER,,,
XYBERS GLOBAL LTD,16972339,active,ltd,,,2026-01-19,,2026-01-19,"[62012, 62090, 63110, 78109]","2nd Floor College House Ruislip, United Kingdom HA4 7AE",,,
CHASE SIDE HOLDINGS LIMITED,16972332,active,ltd,,,2026-01-19,,2026-01-19,"[68100, 68209, 68320]",159 Kilburn High Road London England NW6 7HU,,,
SAROLIX LTD,16971995,active,ltd,,,2026-01-19,,2026-01-19,[47910],86-90 Paul Street London United Kingdom EC2A 4NE,,,
KNOWNET LIMITED,16972000,active,ltd,,,2026-01-19,,2026-01-19,[62090],13 Evesham Road London England E15 4AL,https://knownet.com,support@knownet.com,Confirmed
KOROSE LTD,16971994,active,ltd,,,2026-01-19,,2026-01-19,[99999],Room B London United Kingdom E1 4XH,,,
NXB GALLERY LTD,16972777,active,ltd,,,2026-01-19,,2026-01-19,[47781],167-169 Great Portland Street London England W1W 5PF,,,
VYAEAJE MART LTD,16972770,active,ltd,,,2026-01-19,,2026-01-19,"[47910, 47990]",Flat 3 Tigris House London United Kingdom W2 1DS,,,
SURECODE SOFTWARE UK LIMITED,16974640,active,ltd,,,2026-01-20,,2026-01-20,[62012],128 City Road London United Kingdom EC1V 2NX,https://surecodesoftware.com,,Likely
ALPHALYNX LIMITED,16975161,active,ltd,,,2026-01-20,,2026-01-20,[96090],72 Halliwick Road London England N10 1AB,,,
SOUGHT & SEEKERS RECRUITMENT LTD,16975849,active,ltd,,,2026-01-20,,2026-01-20,[78109],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
PIXONCANVAS.COM LTD,16975999,active,ltd,,,2026-01-20,,2026-01-20,[47910],167-169 Great Portland Street London England W1W 5PF,,,
192 LIVING LIMITED,16976153,active,ltd,,,2026-01-20,,2026-01-20,"[43390, 68209, 68320, 81100]",64 Ladbroke Road London England W11 3NR,,,
L&J PLUMBING AND DRAINAGE LTD,16976592,active,ltd,,,2026-01-20,,2026-01-20,[43220],124-128 City Road London England EC1V 2NX,,,
SRLSS LTD,16976702,active,ltd,,,2026-01-20,,2026-01-20,[56290],8 Ruffle House 4-14 Shipbuilding Way London England E13 9GJ,,,
VERTEX DAMP & MOULD LTD,16979019,active,ltd,,,2026-01-21,,2026-01-21,[43290],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
CONNECTICUT LTD,16979018,active,ltd,,,2026-01-21,,2026-01-21,[47910],128 City Road London United Kingdom EC1V 2NX,,,
H&B NAILS SPA LTD,16979049,active,ltd,,,2026-01-21,,2026-01-21,[96020],75 George Lane London England E18 1JJ,https://www.hbnailsspalondon.co.uk,,Confirmed
SONRIGHT LIMITED,16979032,active,ltd,,,2026-01-21,,2026-01-21,"[55209, 68320]",36-38 Waterloo Road London England NW2 7UH,,,
ALGORI GEN LTD,16979043,active,ltd,,,2026-01-21,,2026-01-21,[82990],77 Harrow Drive London United Kingdom N9 9EQ,,,
POWRBRIDGE LTD,16979094,active,ltd,,,2026-01-21,,2026-01-21,[62012],Office 16712 182-184 High Street North London United Kingdom E6 2JA,https://www.powrbridge.co.uk,info@powrbridge.co.uk,Confirmed
T2T SIMPLE LTD,16979097,active,ltd,,,2026-01-21,,2026-01-21,[47910],27 Old Gloucester Street London United Kingdom WC1N 3AX,,,
NA GLOBAL TRADE LTD,16979220,active,ltd,,,2026-01-21,,2026-01-21,[46900],71 Madeley Road London England W5 2LT,,,
CERTAUK LTD,16979204,active,ltd,,,2026-01-21,,2026-01-21,"[58110, 62020, 82110, 85590]",71-75 Shelton Street London United Kingdom WC2H 9JQ,https://certauk.com,maria.rosini@certacon.com.br,Confirmed
POTASH CONSULTANCY LTD,16979412,active,ltd,,,2026-01-21,,2026-01-21,[70229],19 Reizel Close London United Kingdom N16 5GY,,,
MINTAKA ADVISORY LIMITED,16979572,active,ltd,,,2026-01-21,,2026-01-21,[70229],71-75 Shelton Street London England WC2H 9JQ,,,
BETTER LEYT THAN NEVER LTD,16979573,active,ltd,,,2026-01-21,,2026-01-21,"[59111, 59112, 59113]",20 Wenlock Road London England N1 7GU,,,
THAMESTALES MEDIA LTD,16979578,active,ltd,,,2026-01-21,,2026-01-21,[99999],167-169 Great Portland Street London England W1W 5PF,,,
MMPEPTIDES LIMITED,16979848,active,ltd,,,2026-01-21,,2026-01-21,[72110],5 Brayford Square London England E1 0SG,https://mmpeptides.co.uk,admin@mmpeptides.co.uk,Confirmed
MONTCLAIR CONSULTANCY GROUP LTD,16979851,active,ltd,,,2026-01-21,,2026-01-21,[70229],Flat 6 Waterhead London England NW1 3RR,,,
WHITEDAWN LIMITED,16980026,active,ltd,,,2026-01-22,,2026-01-22,[96090],72 Halliwick Road London England N10 1AB,,,
SADOLLAH MUSTAFA LTD,16980072,active,ltd,,,2026-01-22,,2026-01-22,[74300],278 Northfield Avenue Ealing London United Kingdom W5 4UB,,,
VISA CLARITY LIMITED,16980073,active,ltd,,,2026-01-22,,2026-01-22,"[58110, 69109]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
SPARK DEVELOPMENT GROUP LTD,16980087,active,ltd,,,2026-01-22,,2026-01-22,"[68100, 68201, 68209, 68320]",Unit 3b Berol House London United Kingdom N17 9LJ,,,
LAJ INVESTMENTS AND PROPERTIES LTD,16980078,active,ltd,,,2026-01-22,,2026-01-22,"[68100, 68209]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
WIMBLEDON COLLECTION ONE LTD,16980317,active,ltd,,,2026-01-22,,2026-01-22,[68209],1.1 Bedford House C/O Layer 02 Design London United Kingdom SW6 3JW,,,
CITYLINE PROPERTY LTD,16980573,active,ltd,,,2026-01-22,,2026-01-22,[68209],20 Wenlock Road London England N1 7GU,,,
SERVABO LTD,16980568,active,ltd,,,2026-01-22,,2026-01-22,"[62020, 64209, 70100]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
LETHEO LIMITED,16980570,active,ltd,,,2026-01-22,,2026-01-22,"[62020, 62090]",128 City Road London United Kingdom EC1V 2NX,,,
MIKAILS CAFE LTD,16980755,active,ltd,,,2026-01-22,,2026-01-22,[56102],566 Roman Road London England E3 5ES,https://www.mikails.co.uk,mikailscafe@gmail.com,Confirmed
SHENOLHAIR EXTENSION LTD,16980726,active,ltd,,,2026-01-22,,2026-01-22,[96090],12 Crawford Street London United Kingdom W1U 6BA,https://www.shenolhair.com,,Confirmed
CONTEX SHIPPING LTD,16980732,active,ltd,,,2026-01-22,,2026-01-22,"[50200, 52290]",128 City Road London United Kingdom EC1V 2NX,http://contexshipping.co.uk,info@contexshipping.co.uk,Confirmed
REGALAPPLIANCESREPAIRS LTD,16980723,active,ltd,,,2026-01-22,,2026-01-22,[95220],128 City Road London United Kingdom EC1V 2NX,,,
THE CLAPHAM GRAND LEASE LIMITED,16980731,active,ltd,,,2026-01-22,,2026-01-22,[68209],49 St James's Street London United Kingdom SW1A 1JT,,,
HIGHTOPP CONSULTING LIMITED,16980767,active,ltd,,,2026-01-22,,2026-01-22,"[62020, 62030, 62090, 63120]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
LITTLE HOUSE LEASE LIMITED,16980735,active,ltd,,,2026-01-22,,2026-01-22,[68209],49 St James's Street London United Kingdom SW1A 1JT,,,
PALMER'S WASTE REMOVAL AND CLEANING SERVICES LTD,16981156,active,ltd,,,2026-01-22,,2026-01-22,"[38110, 81210, 81299]","3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",https://palmers-waste-removal-and-cleaning-services.com,Info@palmers-waste-removal-and-cleaning-services.com,Confirmed
GAO GROUP LTD,16981887,active,ltd,,,2026-01-22,,2026-01-22,[47789],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
PORTLAND BUTCHERS LTD,16982205,active,ltd,,,2026-01-22,,2026-01-22,[47220],245 Portland Road London England SE25 4XB,,,
AA ADORABLES LTD,16982209,active,ltd,,,2026-01-22,,2026-01-22,"[47190, 47990, 96090]",128 City Road London United Kingdom EC1V 2NX,,,
DHG PROPERTY SOLUTIONS LTD,16982208,active,ltd,,,2026-01-22,,2026-01-22,[82110],167-169 Great Portland Street London United Kingdom W1W 5PF,,,
COMPASS FOR CONTENT LTD,16982217,active,ltd,,,2026-01-22,,2026-01-22,"[73110, 82990]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
HARRISON SAMS LTD,16982528,active,ltd,,,2026-01-22,,2026-01-22,"[47110, 47290]",465 Lordship Lane London England N22 5DJ,,,
MANOR 109 LTD,16982649,active,ltd,,,2026-01-22,,2026-01-22,[96020],109 Manor Lane London England SE12 8LT,,,
SARVOPARI LIMITED,16982892,active,ltd,,,2026-01-23,,2026-01-23,"[47910, 47990]",Flat 9 Stoneham House Croydon England CR0 1SQ,,,
377 EASTER RD HOLDINGS LIMITED,16982876,active,ltd,,,2026-01-23,,2026-01-23,[68100],27 Old Gloucester Street London United Kingdom WC1N 3AX,,,
WYLDBEE LTD,16983196,active,ltd,,,2026-01-23,,2026-01-23,[74202],20 Wenlock Road London England N1 7GU,https://wyldbee.com,,Likely
THE SEN LABEL LTD,16983199,active,ltd,,,2026-01-23,,2026-01-23,"[85590, 85600]",7a Glendale Avenue London England N22 5AH,,,
JOSHUABARRONSPROPERTIES LTD,16983194,active,ltd,,,2026-01-23,,2026-01-23,"[68100, 68209, 82990]","3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
KINETIX INSULATION LTD,16983193,active,ltd,,,2026-01-23,,2026-01-23,[43999],128 City Road London United Kingdom EC1V 2NX,,,
PAPA'S PROFESSIONAL REMOVALS UK LTD,16983190,active,ltd,,,2026-01-23,,2026-01-23,"[49410, 49420, 52103]",402 Conwentway Southhall London United Kingdom UB2 5UW,,,
IRIDIUM FLOW LIMITED,16983255,active,ltd,,,2026-01-23,,2026-01-23,"[46320, 46330, 46341, 46342]",Unit 185 48 Waterside Heights London United Kingdom E16 2GP,,,
GG-167-699 LIMITED,16983265,active,ltd,,,2026-01-23,,2026-01-23,[68209],1 Lyric Square London England W6 0NB,,,
SF CAP 1 LTD,16983531,active,ltd,,,2026-01-23,,2026-01-23,[64999],Senna Building London England E2 8JF,,,
PENGAME RECORDS LTD,16983696,active,ltd,,,2026-01-23,,2026-01-23,[59200],87 High Street South London England E6 6EJ,https://www.pengame.co.uk,,Likely
47 PADDENSWICK RD FLATS 1-3 LIMITED,16983686,active,ltd,,,2026-01-23,,2026-01-23,[68209],64-66 Stanley Gardens Acton United Kingdom W3 7SZ,,,
RED POUCH LTD,16983684,active,ltd,,,2026-01-23,,2026-01-23,[62012],"Flat 53, Somerset Hall London United Kingdom N17 8SH",,,
MAUVAIS NAIVE GROUP LTD,16983681,active,ltd,,,2026-01-23,,2026-01-23,"[47710, 47910, 58142, 74100]",20 Wenlock Road London England N1 7GU,,,
AURORA APPS LTD,16983990,active,ltd,,,2026-01-23,,2026-01-23,"[62012, 62020]","3rd Floor, 86-90 Paul Street London England EC2A 4NE",,,
HARMONY WELLNESS SUPPLEMENTS LTD,16983980,active,ltd,,,2026-01-23,,2026-01-23,[47910],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
CAMBRIDGESHIRE WINDOWS LTD,16984035,active,ltd,,,2026-01-23,,2026-01-23,[47789],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
VICTORIA PARKIOSK LTD,16984291,active,ltd,,,2026-01-23,,2026-01-23,[56102],Victoria Park Kiosk London United Kingdom N3 2NE,,,
HAVEN WAY PROPERTY LTD,16984431,active,ltd,,,2026-01-23,,2026-01-23,"[68209, 68320]",128 City Road London United Kingdom EC1V 2NX,,,
SPORTOS UK LTD,16984596,active,ltd,,,2026-01-23,,2026-01-23,[93199],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",https://sportos.co.uk,,Confirmed
E17 FOODSTORE LIMITED,16940641,active,ltd,,,2026-01-03,,2026-01-03,[47220],214 High Street Walthamstow England E17 7JH,,,
ABDULRAHMAN LTD,16984731,active,ltd,,,2026-01-23,,2026-01-23,[46900],"2nd Floor College House Ruislip, United Kingdom HA4 7AE",,,
AA LANKA LIMITED,16985874,active,ltd,,,2026-01-25,,2026-01-25,[47620],240 Hoe Street London England E17 3AX,,,
B2 EVENT LIMITED,16986114,active,ltd,,,2026-01-26,,2026-01-26,"[59112, 70229, 73110, 74100]",117 Buckler Court Eden Grove London United Kingdom N7 8GQ,,,
CORNERSTONE LIVING PROPERTIES LTD,16986110,active,ltd,,,2026-01-26,,2026-01-26,[68209],C/O Getground London England W6 0NB,,,
PILLAR SYSTEMS LIMITED,16986609,active,ltd,,,2026-01-26,,2026-01-26,[46510],695 High Road London England N12 0BT,,,
ONE DNA PROPERTY LTD,16986613,active,ltd,,,2026-01-26,,2026-01-26,[68209],70a Disraeli Road London England E7 9JT,,,
PROPERTIES OF NV LTD,16986619,active,ltd,,,2026-01-26,,2026-01-26,[68100],20 Wenlock Road London England N1 7GU,,,
BESPOKE GIFTS LTD,16986592,active,ltd,,,2026-01-26,,2026-01-26,[47910],124 City Road London United Kingdom EC1V 2NX,,,
VITA CARE SERVICES LIMITED,16986614,active,ltd,,,2026-01-26,,2026-01-26,"[87300, 88100]",246-250 Romford Road London United Kingdom E7 9HZ,,,
HORIZON AVIATION SUPPORT SERVICES LTD,16986947,active,ltd,,,2026-01-26,,2026-01-26,[74909],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
YOTLY YACHT MANAGEMENT AND CREWING LIMITED,16986965,active,ltd,,,2026-01-26,,2026-01-26,"[52290, 70229, 78109]",71-75 Shelton Street London England WC2H 9JQ,,,
LARS MURER LTD,16986976,active,ltd,,,2026-01-26,,2026-01-26,[43390],128 City Road London United Kingdom EC1V 2NX,,,
AIM IQ LIMITED,16957579,active,ltd,,,2026-01-12,,2026-01-12,[62090],71-75 Shelton Street London England WC2H 9JQ,https://aim-iq.com,,Likely
CASPIAN CRESCENT LTD,16972053,active,ltd,,,2026-01-19,,2026-01-19,"[46450, 46900, 47190, 62020]",128 City Road London United Kingdom EC1V 2NX,,,
KARLSSONS/ANDERSSONS SKOG & LANTBRUK LIMITED,16972054,active,ltd,,,2026-01-19,,2026-01-19,[99999],"Stron Legal, The Clubhouse St James London England SW1Y 4JU",,,
KOPURE LTD,16972045,active,ltd,,,2026-01-19,,2026-01-19,[99999],Room D London United Kingdom E1 4XH,,,
REDRECORDS LIMITED,16972071,active,ltd,,,2026-01-19,,2026-01-19,[59200],Office 16730 182-184 High Street North London United Kingdom E6 2JA,,,
SUPREME PLUMBING SERVICE LTD,16954253,active,ltd,,,2026-01-09,,2026-01-09,[43220],Flat 10 Michelle Court London England N12 9TD,,,
SMPLRHR LTD,16971820,active,ltd,,,2026-01-19,,2026-01-19,"[82990, 96090]",124 City Road London United Kingdom EC1V 2NX,https://smplrhr.co.uk,,Likely
SRIGUEIRA LTD,16972213,active,ltd,,,2026-01-19,,2026-01-19,[63990],86-90 Paul Street London England EC2A 4NE,,,
ZAP TAP & GAS PROPERTY SERVICES LTD,16972202,active,ltd,,,2026-01-19,,2026-01-19,"[43210, 43220, 43341]",7 The Avenue London United Kingdom N11 1NF,https://zaptap.co.uk,,Likely
THEPROMISELAND LTD,16972228,active,ltd,,,2026-01-19,,2026-01-19,"[55209, 68209]",210 Latimer Road London United Kingdom W10 6QY,,,
HARMONIQ HOMES LTD,16972509,active,ltd,,,2026-01-19,,2026-01-19,[68100],C/O 32 Castlewood Road London England N16 6DW,,,
GOLDEN ARTISAN LTD,16973381,active,ltd,,,2026-01-19,,2026-01-19,"[10512, 10519, 10890, 47910]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
PRAGTECH LTD,16973363,active,ltd,,,2026-01-19,,2026-01-19,[71122],71-75 Shelton Street London United Kingdom WC2H 9JQ,https://www.pragtech.co.uk,info@pragtech.co.uk,Confirmed
CDS HOUSING SOLUTIONS COMPANY LIMITED,16973489,active,ltd,,,2026-01-19,,2026-01-19,[81100],"Unit A Arc House, 82 London United Kingdom SE1 3GN",,,
17 WILTON ROAD FREEHOLD LIMITED,16973492,active,ltd,,,2026-01-19,,2026-01-19,[68100],17 Wilton Road London England SW19 2HB,,,
HR LUXE JEWELS LTD,16973484,active,ltd,,,2026-01-19,,2026-01-19,[47770],62 Hatton Garden London England EC1N 8LR,,,
FLOW COCOA LTD,16973736,active,ltd,,,2026-01-19,,2026-01-19,"[10821, 47250, 47910]",50 Framlingham Crescent London England SE9 4AE,,,
ANDRE PROPERTY GROUP LTD,16973742,active,ltd,,,2026-01-19,,2026-01-19,[68310],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
SHILOH PROPERTY GROUP LTD,16973746,active,ltd,,,2026-01-19,,2026-01-19,[98000],14 Longworth Close London England SE28 8PE,,,
MEDICALMEDIA LTD,16973842,active,ltd,,,2026-01-20,,2026-01-20,[62090],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
AF LAND LTD,16973905,active,ltd,,,2026-01-20,,2026-01-20,[41100],411 Oxford Street London England W1C 2PE,,,
COSMETI GROUPE SARL LTD,16974017,active,ltd,,,2026-01-20,,2026-01-20,[46900],50 Queensdale Road London England W11 4SA,,,
WARD POWER SOLUTIONS LTD,16974019,active,ltd,,,2026-01-20,,2026-01-20,[35140],"Flat 56, 5 Devonhurst Place, Heathfield Terrace London England W4 4JD",,,
CONFORMER LTD,16974150,active,ltd,,,2026-01-20,,2026-01-20,"[68100, 68201, 68209, 68320]",Flat 27 Ripon Court London England N11 3BE,,,
ACROPOLIS BUILDERS LTD,16974154,active,ltd,,,2026-01-20,,2026-01-20,[43999],1 Welshside London England NW9 7RJ,https://acropolis.builders,,Likely
WIG WORKS LTD,16974148,active,ltd,,,2026-01-20,,2026-01-20,[96020],1 Addington Square London England SE5 7JZ,,,
REMOVE APPAREL COMPANY LIMITED,16974380,active,ltd,,,2026-01-20,,2026-01-20,[47910],167-169 Great Portland Street London England W1W 5PF,,,
SOCS INNOVATE LIMITED,16974663,active,ltd,,,2026-01-20,,2026-01-20,[70229],41 Dovehouse Street London England SW3 6JY,https://socs.tech/socs-innovate,,Likely
NITH AI LTD,16974948,active,ltd,,,2026-01-20,,2026-01-20,"[62012, 72190]",71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
FALLOW HOUSE LTD,16974950,active,ltd,,,2026-01-20,,2026-01-20,[58110],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
GUIDING STEPS SERVICES LTD,16974953,active,ltd,,,2026-01-20,,2026-01-20,[87900],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
NATIVE APP LTD,16974940,active,ltd,,,2026-01-20,,2026-01-20,"[62012, 63120]",2 Greystoke Lodge London England W5 1EW,,,
REVIT COORDINATION LTD,16975187,active,ltd,,,2026-01-20,,2026-01-20,[43999],"Flat 2, 19b Well Hall Parade London United Kingdom SE9 6SP",,,
DIGITAL INTELLIGENCE ANALYTICS LIMITED,16975194,active,ltd,,,2026-01-20,,2026-01-20,[70229],4 Cardinals Way London England N19 3UZ,,,
THE GOOD STUFF FOOD CO. LIMITED,16975196,active,ltd,,,2026-01-20,,2026-01-20,[46330],Eighth Floor 6 New Street Square London United Kingdom EC4A 3AQ,,,
LAMASSAT AL NAJM AL SATE LTD,16975214,active,ltd,,,2026-01-20,,2026-01-20,"[46170, 47290, 47810]",167-169 Great Portland Street London United Kingdom W1W 5PF,,,
VECTOR TECHNOLOGIES LTD,16975202,active,ltd,,,2026-01-20,,2026-01-20,[62012],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
TIDESHIFT MEDIA LTD,16975555,active,ltd,,,2026-01-20,,2026-01-20,[63120],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
ROBOMADE LTD,16975703,active,ltd,,,2026-01-20,,2026-01-20,"[46520, 47410, 47910]",8 Clock House Parade London England N13 6BG,https://robomade.co.uk,,Confirmed
KEY ASSETS PROPERTIES LIMITED,16975704,active,ltd,,,2026-01-20,,2026-01-20,[68310],130 Cranston Road London England SE23 2EY,,,
KINGDOM COME LTD,16975705,active,ltd,,,2026-01-20,,2026-01-20,"[82302, 96020]","Flat 19, Chiltern Court London United Kingdom SE14 5EZ",,,
ROBERTS BUSINESS CONSULTING LTD,16976049,active,ltd,,,2026-01-20,,2026-01-20,[70229],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
PAUSPAN LTD,16976139,active,ltd,,,2026-01-20,,2026-01-20,"[47910, 62011, 62012, 62020]","167-169 Great Portland Street , 5th Floor London United Kingdom W1W 5PF",,,
SECURESKY ADVSIORY LIMITED,16976200,active,ltd,,,2026-01-20,,2026-01-20,[74909],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
FWDD LIMITED,16976523,active,ltd,,,2026-01-20,,2026-01-20,"[46420, 47820]",6 Redwing Path London England SE28 0DL,,,
8848 HOLDINGS LIMITED,16980912,active,ltd,,,2026-01-22,,2026-01-22,[64209],"3rd Floor, The Coade London United Kingdom SE11 5EL",,,
PASSIONAT£LOVE LIMITED,16980905,active,ltd,,,2026-01-22,,2026-01-22,[73110],8 Tierney  Terrace Tierney Road London England SW2 4QN,,,
NABIRA LTD,16981059,active,ltd,,,2026-01-22,,2026-01-22,[47910],71-75 Shelton Street London England WC2H 9JQ,,,
178-186 TRONGATE PROPERTY OWNER LIMITED,16981027,active,ltd,,,2026-01-22,,2026-01-22,[68100],27 Old Gloucester Street London United Kingdom WC1N 3AX,,,
WESTMINSTER PREMIER CONSTRUCTION GROUP LTD,16981037,active,ltd,,,2026-01-22,,2026-01-22,"[41201, 41202, 43999]",103 Sandhurst Road London United Kingdom N9 8BB,https://www.westminsterpremier.co.uk,,Confirmed
THE VINTAGE BARREL LTD,16981031,active,ltd,,,2026-01-22,,2026-01-22,[56302],14 Newby Place London United Kingdom E14 0EY,,,
S-CLASS LTD,16981304,active,ltd,,,2026-01-22,,2026-01-22,[56102],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
BIGGAR BEAUTY AND AESTHETICS LTD,16981294,active,ltd,,,2026-01-22,,2026-01-22,[47750],"3rd Floor, 86-90 Paul Street London United Kingdom EC2A 4NE",,,
BRICK LANE CC LTD,16981564,active,ltd,,,2026-01-22,,2026-01-22,[73110],71 Crescent Way London England N12 0RA,,,
